Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
183,1,Fancy Like,"5,145,432",Walker Hayes,304995,"['contemporary country', 'country', 'country road', 'modern country rock']"
184,1,Cúrame,"5,104,206",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']"
110,78,All of Me,"5,103,014",John Legend,5799137,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
80,41,Martin & Gina,"5,098,609",Polo G,4840346,['chicago rap']
40,65,Dior,"5,092,354",Pop Smoke,6837946,['brooklyn drill']
45,29,Best Friend (feat. Doja Cat),"5,090,062",Saweetie,1254432,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']"
52,22,The Hills,"5,068,864",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']"
5,31,Good Days,"5,065,132",SZA,5881963,"['pop', 'pop rap', 'r&b']"
191,1,Kiss My (Uh Oh),"5,063,181","Anne-Marie, Little Mix",8148393,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
64,3,De Museo,"5,016,125",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']"
41,81,7 rings,"5,002,227",Ariana Grande,67158068,"['dance pop', 'pop', 'post-teen pop']"
194,1,Chosen (feat. Ty Dolla $ign),"4,992,405","Blxst, Tyga",167628,[]
149,5,Não Nasceu pra Namorar,"4,978,559","MC Zaquin, MC Rick",130627,"['funk bh', 'funk carioca']"
8,71,Breaking Me,"4,977,498","Topic, A7S",151832,"['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']"
197,1,penhasco.,"4,973,937",Luísa Sonza,1909059,"['funk carioca', 'pop nacional']"
58,8,Late At Night,"4,954,899",Roddy Ricch,6603627,"['melodic rap', 'rap', 'trap']"
199,1,Verdansk,"4,950,275",Dave,1427540,['uk hip hop']
172,12,The Real Slim Shady,"4,948,965",Eminem,46785561,"['detroit hip hop', 'hip hop', 'rap']"
66,1,Tell The Vision (feat. Kanye West & Pusha T),"8,859,168",Pop Smoke,6837946,['brooklyn drill']
87,1,Woo Baby (feat. Chris Brown),"7,371,935",Pop Smoke,6837946,['brooklyn drill']
116,1,Holy Smokes,"6,464,206","Trippie Redd, Lil Uzi Vert",6430522,"['melodic rap', 'rap', 'trap']"
127,1,More Time,"6,238,351",Pop Smoke,6837946,['brooklyn drill']
129,1,Coupe,"6,161,664",Pop Smoke,6837946,['brooklyn drill']
76,4,Holiday,"5,883,145",KSI,2008516,['uk hip hop']
150,1,Manslaughter (feat. Rick Ross & The-Dream),"5,822,266",Pop Smoke,6837946,['brooklyn drill']
159,1,Genius (feat. Lil Tjay & Swae Lee),"5,702,636",Pop Smoke,6837946,['brooklyn drill']
22,4,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"5,696,113","Tyler, The Creator",6777818,"['hip hop', 'rap']"
105,4,Sommergewitter,"5,627,519",Pashanim,208554,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']"
17,12,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","5,383,125","Tion Wayne, Russ Millions",323203,['london rap']
180,1,Brush Em (feat. Rah Swish),"5,335,271",Pop Smoke,6837946,['brooklyn drill']
13,15,AM,"5,288,927","Nio Garcia, Flow La Movie",2123734,"['latin', 'reggaeton', 'trap latino']"
175,4,MI FAI IMPAZZIRE,"5,242,097","BLANCO, Sfera Ebbasta",127364,"['italian hip hop', 'italian pop']"
20,82,Ride It,"5,235,088",Regard,152226,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
15,7,Lost Cause,"5,203,319",Billie Eilish,1250353,[]
193,1,Shot in the Dark,"5,173,308",John Mayer,5178156,"['neo mellow', 'pop rock', 'singer-songwriter']"
71,3,Wrecked,"5,150,909",Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']"
79,11,Bipolar,"5,116,589","Mc Davi, Mc Pedrinho, Mc Don Juan",2586114,"['funk carioca', 'funk ostentacao', 'funk paulista']"
122,5,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","5,110,475",Internet Money,411579,"['pop rap', 'rap', 'trap']"
75,19,Follow You,"5,097,187",Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']"
22,22,We're Good,"6,318,660",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']"
4,29,Life Goes On,"6,142,975",BTS,37106176,"['k-pop', 'k-pop boy group']"
28,23,911,"6,111,108",Sech,8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
17,24,Baila Conmigo (with Rauw Alejandro),"5,588,217",Selena Gomez,28909504,"['dance pop', 'pop', 'post-teen pop']"
164,1,The Jackie (with J. Cole & Lil Tjay),"5,454,994",Bas,386757,"['hip hop', 'pop rap', 'queens hip hop', 'rap', 'sudanese pop', 'underground hip hop']"
